市場,代號,公司簡稱,公告日期,異動情形,新任者,舊任者,生效日期,異動原因,公告來源
上櫃,8087,麗升能源,99/12/29,新任,張雅瑄,洪琦雅,99/12/29,生涯規畫,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""8087"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,6186,新潤,99/12/29,新任,魏玉屏,無,99/12/29,新任,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6186"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,6114,久威,99/12/29,職務調整,古郁如,翁霖友,100/01/01,職務調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6114"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,3465,進泰電子,99/12/29,職務調整,何仲儀,陳思宇,99/12/29,職務調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3465"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,6276,安鈦克,99/12/28,職務調整,周起涵,張德源,99/12/28,職務調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6276"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,3207,耀勝,99/12/28,新任,詹雅雯,詹雅雯,99/12/27,新任,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3207"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上市,3031,佰鴻,99/12/28,新任,張東立,不適用,99/12/28,新任,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3031"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上市,2836,高雄銀,99/12/28,職務調整,林仲貞,盧泰揚,自報奉行政院金融監督管理委員會核准函到行之日起算至第7日生效,因業務需要，本行董事會稽核處總稽核職務經依本行第十屆董事會第15次會議決議擬由九如分行經理林仲貞升任，並自報奉行政院金融監督管理委員會核准函到行之日起算至第7日生效。,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2836"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上市,6197,佳必琪,99/12/27,新任,陳怡君,郭毓弘,99/12/27,職務調整，原任稽核主管郭毓弘副理調任財會部會計副理，新任稽核主管由陳怡君專員擔任。,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6197"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上櫃,4743,合一,99/12/27,職務調整,林姿菁,陳美宏,99/12/27,職務調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""4743"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,6603,富強鑫,99/12/24,退休,雷震宇,林秀雀,100/01/01,舊任者屆齡辦理退休、新任者董事會決議通過接任稽核室經理,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6603"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,5312,寶島科,99/12/24,職務調整,曾威愷,周克倫,100/01/01,董事會通過新任內部稽核主管人事案,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""5312"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,3285,微端,99/12/24,新任,楊明玲,林家豪,99/12/24,新任稽核主管,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3285"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,2719,燦星旅,99/12/24,新任,黃毓珊,不適用,99/12/24,公司內部職務調整異動,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2719"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上市,1301,台塑,99/12/24,職務調整,林勝冠,黃宗敬,99/12/24,因業務需要調整職務,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""1301"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上櫃,5425,台半,99/12/23,新任,連少平,文寧文,99/12/23,原稽核主管文寧文辭職，經董事會通過由連少平接任。,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""5425"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,3558,神準,99/12/23,職務調整,林麗華,張美惠,99/12/23,職務調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3558"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上市,3004,豐達科,99/12/23,新任,林梅娟,蔡岳君,99/12/23,新任,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3004"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上櫃,4950,金耘國際,99/12/22,新任,王宜貞,宋佳玲,99/12/22,本公司內部稽核主管宋佳玲於99/9/30辭職，董事會於今日通過由王宜貞任內部稽核主管職務,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""4950"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上市,3532,台勝科,99/12/22,職務調整,邱紹勛,楊政傑,99/12/22,因業務需要調整職務,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3532"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上櫃,3531,先益,99/12/21,新任,方建仁,陳慧青,99/12/21,原稽核主管陳慧青辭職，經董事會通過由方建仁接任。,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3531"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上市,1727,中華化,99/12/21,新任,李隆正,程碧霞,99/12/21,原任稽核主管自行辭職,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""1727"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上市,3168,眾福科,99/12/17,職務調整,陳巧慧,劉雅慧,99/12/17,董事會通過,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3168"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上櫃,3115,富榮綱,99/12/17,新任,李麗錚,陳世杰,99/12/17,新任,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3115"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上市,2892,第一金 代：第一銀行,99/12/17,職務調整,吳瑛,林漢奇,100/01/01（內部稽核主管俟主管機關核准後正式充任）,職務調整,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2892"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上櫃,8354,冠好,99/12/16,職務調整、新任,劉嘉宗,邱添圍,99/12/16,經董事會通過調整、新任,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""8354"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上市,4133,亞諾法,99/12/16,職務調整,何美嬋,董怡伶,99/12/16,內部職務異動調整,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""4133"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上市,2633,台灣高鐵,99/12/16,新任,傅乙峰,傅乙峰,99/12/16,真除,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2633"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上櫃,6509,聚和,99/12/15,職務調整,陳君忠,張紋甄,99/12/15,職務調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6509"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,2719,燦星旅,99/12/14,職務調整,待補,簡志仲,99/12/13,公司內部職務調整異動,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2719"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,5301,寶得利,99/12/11,新任,翟慧蘭,王家平,99/12/10,舊任稽核主管劉淑鈺襄理辭職，由王家平廠長自99/09/13暫代稽核主管，新任稽核主管於99/12/10經董事會追認自09/13日起任用生效，特此公告。,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""5301"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,6199,天品,99/12/10,辭職,古麗春,張藜云,99/12/09,辭職,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6199"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,6195,詩肯,99/12/10,新任,王藎愷,,99/11/23,無,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6195"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,6186,新潤,99/12/10,辭職,無,詹云緹,99/12/10,本公司內部稽核主管詹云緹小姐因生涯規畫，辭去稽核主管一職。,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6186"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,5432,新門,99/12/10,辭職,缺額待補,林威良,99/12/10,個人生涯規劃,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""5432"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,8937,合騏*,99/12/08,職務調整,李竹信,郭金葉,99/12/08,舊任者郭金葉轉任財務部，其職務改由李竹信擔任,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""8937"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,3687,歐買尬,99/12/08,職務調整,陳玉惠,謝佳玲,99/12/08,職務調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3687"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,8932,智通*,99/12/06,職務調整,湯坤旺,吳苑姬,99/12/06,因公司內部職務調動,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""8932"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,6198,瑞築,99/12/02,職務調整,蘇添勝,賴春燕,99.12.02,依本公司業務需要，進行內部職務調整異動。,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6198"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,2230,泰茂,99/12/02,新任,楊欣瑜,莊文毓,99/12/02,董事會正式任命,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2230"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,8087,麗升能源,99/11/30,辭職,無,洪琦雅,99/11/30,生涯規畫,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""8087"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,6124,業強,99/11/30,新任,陳清賢,遺缺待補,99/11/30,彌補遺缺,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6124"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上市,2415,錩新,99/11/29,新任,許景翔,暫缺,99/11/29,新任,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2415"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上櫃,6248,沛波,99/11/26,職務調整,林旻萱,陳致豪,99/12/01,舊任內部職務調整轉任會計課主任,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6248"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上市,2347,聯強,99/11/26,辭職,林太陽,溫叔蘭,99/11/30,因家庭因素請辭,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2347"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上櫃,5902,德記,99/11/25,職務調整,劉栯榤,許娟娟,99/11/25,職務調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""5902"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,5425,台半,99/11/24,辭職,,文寧文,99/11/30,個人生涯規劃,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""5425"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上市,1516,川飛,99/11/24,新任,徐步聖,暫缺,99/11/24,新任,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""1516"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上櫃,3230,錦明,99/11/23,職務調整,陳淑真,謝莉寶,99/11/23,原內部稽核主管謝莉寶小姐轉任董事長室高專，內部稽核主管改由陳淑真小姐擔任,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3230"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,6240,松崗,99/11/22,新任,藍文伶,謝麗華,99/11/22,新任,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6240"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上市,4720,德淵,99/11/19,職務調整,陳珮君,高志文,100/01/01,原稽核主管職務調整,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""4720"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上櫃,3597,映興,99/11/19,職務調整,劉麗淑,楊慧萍,99/11/19,職務調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3597"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上市,2233,宇隆,99/11/19,職務調整,羅榮輝,宋嬡枝,99/11/18,職務調整,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2233"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上市,3092,鴻碩,99/11/18,辭職,,徐國晃,99/11/18,因個人生涯規劃,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3092"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上櫃,6236,中湛,99/11/17,職務調整,林雪華,谷曉宙,99/11/16,職務異動,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6236"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
公開發行,4132,國鼎,99/11/12,辭職,周中理,林俊傑,99/11/12,因個人生涯規劃辭職,"{""KIND"": ""X"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""4132"", ""TYPEK"": ""pub"", ""year"": ""2010""}"
興櫃,3603,建祥國際,99/11/12,辭職,劉素英,劉素英,99/11/12,個人生涯規劃,"{""KIND"": ""U"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3603"", ""TYPEK"": ""rotc"", ""year"": ""2010""}"
上櫃,3580,友威科,99/11/12,辭職,遺缺待補,楊尚儒,99/11/12,生涯規劃。,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3580"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,3483,力致,99/11/12,辭職暨新任,張淑敏,林曉妍,99/11/12,原稽核主管因個人生涯規劃離職。,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3483"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,3374,精材,99/11/12,職務調整,李湘怡,蔡琪銘,99/11/13,內部職務調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3374"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,3317,尼克森,99/11/12,新任,林佩萱,陳彥妙,99/11/12,99/11/12董事會決議通過,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3317"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上市,3056,富華新,99/11/10,辭職,周寓釩,邱俊二,99/10/01,自99年10月1日起由周寓釩小姐接任稽核主管。,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3056"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上櫃,8234,新漢,99/11/08,新任,鄭兆恩,王鐘億,99/11/08,原舊任者辭職,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""8234"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,2035,唐榮公司,99/11/05,職務調整,陳素霞,顏志壎,99/11/08,人事異動職務調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2035"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上市,1727,中華化,99/11/05,辭職,,程碧霞,99/11/05,自行辭職,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""1727"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上櫃,8409,商之器,99/11/04,新任,邱國維,郭庭妤,99/11/04,原董事長特助邱國維暫代稽核主管，經董事會通過正式任命，予以公告。,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""8409"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上市,3701,大眾控,99/11/03,辭職,李宥華,楊明玲,99/11/3,辭職,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3701"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上市,3593,力銘,99/11/03,新任,劉坤翰,不適用,99/11/04,"舊任者請辭,新任者職務暫代。","{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3593"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上市,3593,力銘,99/11/02,辭職,不適用,鄭淑方,99/11/03,舊任者家庭因素考量暨職涯規劃。,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3593"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上櫃,4121,優盛,99/11/01,職務調整,劉芝強,江盈瑩,99/11/01,舊任者因職務調整，轉任財務部專員，稽核室主管由劉芝強擔任。,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""4121"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,3207,耀勝,99/11/01,辭職,詹雅雯,林憲新,99/11/01,個人生涯規劃,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3207"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上市,3031,佰鴻,99/11/01,辭職,張東立,賴小芬,99/11/01,個人家庭因素辭職,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3031"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上櫃,8234,新漢,99/10/29,辭職,,王鐘億,99/10/31,個人生涯規劃,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""8234"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上市,6283,淳安,99/10/29,新任,曾福清,N/A,99/10/29,新任,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6283"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上櫃,6124,業強,99/10/29,辭職,遺缺待補,許銘修,99/11/01,原稽核主管因個人生涯規劃請辭獲准,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6124"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上市,2885,元大金 代：元大投顧,99/10/29,職務調整,曹仲賢,林月鈴,99/11/01,營運需要,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2885"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上櫃,6175,立敦,99/10/28,新任,林淑芬,柯淑雯,99/10/27,新任,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6175"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上市,1714,和桐,99/10/28,職務調整,林伯穎,郭應志,99/11/01,職務調整,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""1714"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上市,9939,宏全,99/10/27,職務調整,謝泓隆,吳烈昆,99/10/27,"為提高稽核控管及查核能力,故增設總稽核職位。","{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""9939"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上櫃,4530,宏易,99/10/27,辭職,人員待補,曹美玉,99/10/29,個人家庭因素辭職,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""4530"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上市,2886,兆豐金 代：兆豐國際證券投資顧問股份有限公司,99/10/27,辭職,無,陳美惠,99/10/27,廢止經營全權委託業務，裁撤稽核室,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2886"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上市,2324,仁寶,99/10/27,職務調整,謝博文,劉定嫺,99/10/27,公司內部職務調整,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2324"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上櫃,6229,研通,99/10/26,職務調整,邱俊二,廖俊怡,99/10/26,內部職務調整。,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6229"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,6143,振曜,99/10/26,職務調整,姜禮鴻,張素娟,99/10/26,職務調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6143"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上市,2536,宏普,99/10/26,職務調整,鍾文雯,林素玲,100/01/01,內部職務異動調整,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2536"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上市,8105,凌巨,99/10/25,辭職,陳錦笑,高嬪嬪,99/10/25,個人因素離職,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""8105"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
